学歴,項目,～19歳,20歳～24歳,25歳～29歳,30歳～34歳,35歳～39歳,40歳～44歳,45歳～49歳,50歳～54歳,55歳～59歳,60歳～64歳,65歳～69歳,70歳～,
中卒,年収,2096400,2375700,2844600,2797900,2993600,2821400,3123800,3126400,3285800,2634900,2350400,2466100,
中卒,労働者数,0.011,0.038,0.075,0.096,0.109,0.102,0.126,0.126,0.106,0.075,0.063,0.074,
高卒,年収,2431000,2874500,2985400,3127400,3237400,3313800,3490800,3574200,3547300,3018100,2715200,2700800,
高卒,労働者数,0.028,0.090,0.068,0.068,0.078,0.100,0.134,0.161,0.135,0.086,0.032,0.018,
専門卒,年収,0,2952200,3463900,3644600,3760100,3954400,4243600,4367800,4546000,3811100,3458300,3275400,
専門卒,労働者数,0.000,0.102,0.115,0.089,0.107,0.124,0.149,0.135,0.100,0.056,0.016,0.007,
短大・高専卒,年収,0,3075900,3477700,3584200,3860900,4148500,4338100,4643700,4581900,3758600,3481800,3968900,
短大・高専卒,労働者数,0.000,0.082,0.086,0.070,0.080,0.124,0.191,0.164,0.115,0.067,0.015,0.006,
大卒,年収,0,3181200,3870700,4235400,4640100,4915700,5200600,5638300,5897700,4724900,4145300,4080200,
大卒,労働者数,0.000,0.128,0.227,0.158,0.123,0.109,0.101,0.077,0.045,0.024,0.006,0.002,
大学院卒,年収,0,3083000,4307100,5285400,5921400,6883500,7328000,8316500,8697500,8922600,8078600,7082200,
大学院卒,労働者数,0,0.02861223,0.180598766,0.157341766,0.152394553,0.14999745,0.136073851,0.085989698,0.054929362,0.044065895,0.008670373,0.001326057,
