都道府県,平均年収,補正倍率
北海道,288.5,0.91
青森県,249.9,0.79
岩手県,259.6,0.82
宮城県,288.9,0.91
秋田県,261.4,0.82
山形県,255.8,0.80
福島県,279.4,0.88
茨城県,311.9,0.98
栃木県,323,1.01
群馬県,296.7,0.93
埼玉県,317.2,1.00
千葉県,309.5,0.97
東京都,368.5,1.16
神奈川県,350.4,1.10
新潟県,270.2,0.85
富山県,293.9,0.92
石川県,290.4,0.91
福井県,285.3,0.90
山梨県,292.2,0.92
長野県,287.7,0.90
岐阜県,292.4,0.92
静岡県,305.3,0.96
愛知県,321.8,1.01
三重県,304.8,0.96
滋賀県,302.9,0.95
京都府,316,0.99
大阪府,340,1.07
兵庫県,316.8,1.00
奈良県,302.1,0.95
和歌山県,298.1,0.94
鳥取県,258.3,0.81
島根県,268.7,0.84
岡山県,290.8,0.91
広島県,296.9,0.93
山口県,290.1,0.91
徳島県,271.3,0.85
香川県,279.4,0.88
愛媛県,279.6,0.88
高知県,273,0.86
福岡県,297.3,0.93
佐賀県,269.4,0.85
長崎県,257.3,0.81
熊本県,269,0.85
大分県,271.4,0.85
宮崎県,254.3,0.80
鹿児島県,268.3,0.84
沖縄県,265.4,0.83
