チップ1,,,,,,,,,,,,,,,,,
チップ2,,,,,,,,,,,,,,,,,
チップ3,,,,,,,,,,,,,,,,,
チップ4,,,,,,,,,,,,,,,,,
チップ5,,,,,,,,,,,,,,,,,
チップ6,,,,,,,,,,,,,,,,,
チップ7,,,,,,,,,,,,,,,,,
チップ8,,,,,,,,,,,,,,,,,
チップ9,,,,,,,,,,,,,,,,,
チップ10,ー,論理的で戦略的思考を持ち、独立心がある,革新的で、分析力があり、独立心がある,リーダーシップがあり、決断力があり、行動力がある,論理的で、革新的で、ユーモアがある,理想主義的で、独創性があり、洞察力がある,理想主義的で、創造性があり、共感力がある,カリスマ性があり、情熱的で、人を引きつける力がある,情熱的で、創造性があり、行動力がある,責任感があり、組織力があり、現実主義的な性格,協調性があり、親切で世話好き,伝統を重んじ、几帳面で責任感がある,協調性があり、親切で、世話好き,実践的で、論理的で、独立心がある,芸術的で、感受性があり、自由を愛する,行動的で、実践的で、社交的な性格,陽気で、楽観的で、社交的な性格

